Year,Class,Affiliations,Abstract,Keywords,Title,Tropical_disease_type,Machine_learning_techniques,Model,funding_details,funding_text,Authors_Region,Data_Region,Individual_Disease,Tropical_disease_type_cleaned,Tropical_disease_type_remapped,ml_harmonized,ml_result,ml_category
2019,"diagnosis, Prognosis","Department of Computer Science and Engineering, Karpagam College of Engineering, Coimbatore, Tamilnadu, 641032, India; Karpagam Institute of Technology, Coimbatore, Tamilnadu, 641021, India","Dengue is a dangerous disease caused by female mosquitoes. Dengue fever (also called as break-bone fever) is a infection that can cause to a severe illness which is happened by four different viruses and spread by Aedes mosquitoes. It is the necessary to devise effective methodology for dengue disease prognosis. Machine learning is a sub-filed of artificial intelligence (AI) which offers systems the ability to learn and improve from experience without human intervention and being explicitly programmed. In this research work, the performance analysis of various prediction models is done for dengue disease prediction. It is observed that C4.5 algorithm outperforms well in terms of performance measures such as accuracy (89.33%), prediction (88.9%), recall (89.77%) and other measures. Copyright © 2019 American Scientific Publishers All rights reserved.",Dengue Disease; Machine Learning; Performance Analysis; Prediction,Performance evaluation of machine learning algorithms for dengue disease prediction,dengue,Supervised learning,"Naïve Bayes, Neural Network, k-NN, SVM, Multilayer Perceptron, C4.5, Random Forest",,,India,India,dengue,dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,"surveillance, Prognosis","Graduate School of Global Environmental Studies, Sophia University, Tokyo, Japan; Department of Engineering, Gifu University, Gifu, Japan; Department of Research Development, Remote Sensing Technology Centre of Japan, Tokyo, Japan; Centre of Excellence for Ocean Engineering and Department of Environmental Biology and Fisheries Science, National Taiwan Ocean University, Keelung, Taiwan; Department of Hydraulic and Ocean Engineering and Institute of Ocean Technology and Marine Affairs, National Cheng Kung University, Tainan, Taiwan; Earth Observation Research Centre, Japan Aerospace Exploration Agency, Ibaraki, Japan","Early warning systems (EWS) have been proposed as a measure for controlling and preventing dengue fever outbreaks in countries where this infection is endemic. A vaccine is not available and has yet to reach the market due to the economic burden of development, introduction and safety concerns. Understanding how dengue spreads and identifying the risk factors will facilitate the development of a dengue EWS, for which a climate-based model is still needed. An analysis was conducted to examine emerging spatiotemporal hotspots of dengue fever at the township level in Taiwan, associated with climatic factors obtained from remotely sensed data in order to identify the risk factors. Machine-learning was applied to support the search for factors with a spatiotemporal correlation with dengue fever outbreaks. Three dengue fever hotspot categories were found in southwest Taiwan and shown to be spatiotemporally associated with five kinds of sea surface temperatures. Machine-learning, based on the deep AlexNet model trained by transfer learning, yielded an accuracy of 100% on an 8-fold cross-validation test dataset of longitude-time sea surface temperature images. © the Author(s), 2019 Licensee PAGEPress, Italy.",Dengue fever; Machine-learning; Remote sensing; Spatiotemporal hotspot analysis; Taiwan,Spatiotemporal dengue fever hotspots associated with climatic factors in taiwan including outbreak predictions based on machine-learning,dengue fever,Supervised learning,Fine-tuned AlexNet CNN (transfer learning for SST image classification),"Japan Aerospace Exploration Agency, JAXA, (RA1R803); Japan Aerospace Exploration Agency, JAXA","Funding text 1: the work was supported by a Japan Aerospace Exploration Agency grant, PI No. RA1R803.; Funding text 2: of 100% on an 8-fold cross-validation test dataset of longitude-Agency grant, PI No. RA1R803.Funding: the work was supported by a Japan Aerospace Exploration time sea surface temperature images.","Japan, Taiwan",Taiwan,dengue fever,dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,"Treatment Monitoring, Diagnosis Support","Belgian Military Medical Service, Royal Military Academy, Avenue de la Renaissance 30, Brussels, 1000, Belgium; Travel Clinic, Centre for Infectious Diseases, Military Hospital Queen Astrid, Rue Bruyn 1 1120 Neder-Over-Heembeek, Belgium; Policlinic Department of Clinical Sciences, Institute of Tropical Medicine, Nationalestraat 155, Antwerp, 2000, Belgium","Rabies remains a global threat, with annually over 59,000 deaths. Intradermal (ID) pre-exposure prophylaxis (PrEP) is very efficient and reduces the need for rabies immunoglobulins. Not much is known about factors that influence the immune response to ID administered rabies vaccine. The aim of this study is to determine if variations in timing of vaccine administration and serology determination, age and gender have an influence on the levels of rabies virus neutralizing antibody (RVNA) after ID rabies vaccination. Materials and Methods: This is a retrospective study based on electronic health record vaccination data of Belgian military personnel who received ID rabies PrEP with a three injections regimen during the period 2014-2017. Serology was determined by using the RFFIT method. Fischer's exacts tests were used to evaluate the effect of each independent variable on RVNA levels. Results: In this study, 2,112 subjects were included. All but one seroconverted with a RVNA level ≥0.5 IU/mL. About 48% of subjects developed an antibody titer of >10 IU/mL, 36% had antibody levels 3-10 IU/mL and 16% had an antibody level 0.5-2.99 IU/mL. Statistically significant (p = 0.0018) higher RVNA levels are observed in the groups that received vaccination doses later as planned. Timing of serology determination also influenced RVNA levels significantly (p = 0.000). Antibody levels were significantly higher in females than in males (p = 0.000). Age did influence RVNA levels significantly (p = 0.022). Conclusions: Timing of vaccine dose administration, timing of serology testing, sex and age do significantly influence the humoral B-cell response to ID administered rabies vaccine. © 2019 Association of Military Surgeons of the United States 2019. All rights reserved.",immunization schedule; intradermal; military personnel; pre-exposure prophylaxis; rabies vaccines,Timing of Intradermal Rabies Pre-exposure Prophylaxis Injections: Immunological Effect on Vaccination Response,Rabies,"A, N",A/N,,,Belgium,Belgium,Rabies,Rabies,Rabies,,{'ml_category': 'None/Other'},None/Other
2019,"outbreak prediction, Prognosis","Petra Christian University, Industrial Engineering Department, Surabaya, Indonesia; Petra Christian University, Informatics Department, Surabaya, Indonesia","Dengue Fever is one of the viral diseases of the tropics that are easily spread in high density and humid area such as in Surabaya. Many researchers in various expertise have studied this disease. Some of them use statistical and machine learning approach to predict the outbreak of the disease, so that the government can prevent that incident. In this paper we use the geographically weighted regression for predicting the dengue fever outbreak in Surabaya. The geographically weighted regression has superiority in estimating the coefficient of the explanatory variables locally. So that, we can put more attention into the region with has high estimates coefficient parameters. Here, we look at the locally estimates of the dengue fever infected in the year 2016, 2017, population density and poverty percentage for predicting the dengue fever outbreak in the year 2018. In this study, the pattern of the predicted model can follow the pattern of the true dataset. © 2019 IEEE.",Dengue fever outbreak; Geographically Weighted Regression; Global Moran I statistics; Local Moran I statistics; locally parameters estimate,Dengue Fever Outbreak Prediction in Surabaya using A Geographically Weighted Regression,Dengue Fever,Supervised Learning,Geographically Weighted Regression,Directorate of Higher Education of The Republic of Indonesia,The authors are very grateful to the Directorate of Higher Education of The Republic of Indonesia for financial support of this research. We also thank to the Surabaya Public Health Office for providing the data.,Indonesia,Indonesia,Dengue Fever,Dengue Fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,diagnosis,"Graduate School of Informatics and Engineering, University of Electro-Communications, Tokyo, Japan, Japan; National Hospital of Tropical Diseases, Hanoi, Viet Nam","In order to carry out high-precision and low-cost infection screening, our group is working on the development of a contactless infection screening system using multiple vital signs detected from a microwave sensor. In this study, we focused on sensor signal processing to extract respiration and heart beat signals with high accuracy and constructed a machine learning model suitable for screening infectious diseases using Neural Network and SoftMax function. The effect of respiration while measuring the heart rate was reduced by correcting the phase shift of the respiration signal and subtracting the respiratory component measured from the microwave sensor. The machine learning model of Neural Network was Logistic Regression using SoftMax function as an activation function. A total of 158 subjects (79 normal subjects, 79 infected subjects) were tested with the proposed system. Since the SoftMax function can provide a stochastic expression as output, it is now possible to not only determine whether the disease is an infectious one but also to express the probability of infection. We obtained a highly generalized training model by evaluating the generalization of the training model with the cross-entropy loss function and achieved a classification accuracy of 98%. © 2019 IEEE.",Infection screening system; Microwave sensor; Neural Network; Vital signs,Dengue Fever Screening Using Vital Signs by Contactless Microwave Radar and Machine Learning,Dengue Fever,Supervised Learning,"Random Forest, SVM, kNN classifiers",,,Japan,Japan,Dengue Fever,Dengue Fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,diagnosis,"RKDF University, Bhopal, India","Medical diagnosis expert system is one among the best elements of expert system. This paper utilizes fuzzy expert system to raise the diagnosis level of dengue fever and early detection of dengue in patient. Fuzzy expert system is one of the most traditional artificial intelligence techniques to diagnose any disease. This paper uses MATLAB fuzzy logic toolbox to create an expert system, which is based on crisp values, rules, and defuzzification. The design of fuzzy expert system relies on patient symptoms with diagnosing report as input variable. To analyze the proposed system, accuracy, sensitivity, and specificity are measured. © Springer Nature Singapore Pte Ltd. 2019.",Dengue; DF; DHF; DSS; Fuzzy expert system; MATLAB; Medical diagnosis,Design and Implementation of Fuzzy Expert System for Dengue Diagnosis,Dengue,Supervised Learning,MATLAB Fuzzy Logic Toolbox – fuzzy inference system,,,"A, N","A, N",Dengue,Dengue,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,diagnosis,"Department of Electrical Engineering, Politeknik Harapan Bersama Tegal, Indonesia; Department of Informatics, Politeknik Harapan Bersama Tegal, Indonesia; Department of Pharmacy, Politeknik Harapan Bersama Tegal, Indonesia; Department of Midwifery, Politeknik Harapan Bersama Tegal, Indonesia; Department of Computer Engineering, Politeknik Harapan Bersama Tegal, Indonesia","To classify the diagnosis of dengue fever is not easy, an accurate accuracy is needed for doctors and health workers in making a decision related to the diagnosis of dengue fever. In the classification of diagnosis of dengue fever, the Neural Network is used as the model applied. To implement the Neural Network there are several parameters that we must determine such as learning rate and momentum, the problem is the absence of standard guidelines in determining the parameters to be used in this method whom the experimental method is used. For this reason, a method that can solve the problem is needed, with the parameters obtained can be optimized. The solution that can be applied with applying the Genetic Algorithm (GA) on the Neural Network, in order to optimize the learning rate parameter value and momentum. The results obtained are apparently the application of optimization techniques with Genetic Algorithms which can make it easier to find parameter values optimally and can increase the accuracy value in the Neural Network algorithm, thus the model obtained can be used for doctors and health workers in determining the classification of dengue fever diagnosis. © Published under licence by IOP Publishing Ltd.",,Diagnosis classification of dengue fever based on Neural Networks and Genetic algorithms,dengue fever,Supervised Learning,"Neural Network, Genetic Algorithm optimization for hyperparameter tuning",,,Indonesia,Indonesia,dengue fever,dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2019,"outbreak prediction, Prognosis","Information Technology, Faculty of Science, Chandrakasem Rajabhat University, Bangkok, Thailand","Despite the control and surveillance of dengue fever in various ways, but still found many dengue patients in Thailand every year. The main objective of the research is to develop a model for the prediction of dengue fever. Model development on data of dengue fever outbreaks in Northeast Thailand. The ARIMA model and the Gaussian Distribution model to predict the incidence of dengue fever. Dengue patient data from 2015 to 2019 are used to validate the accuracy of predictive models. The autocorrelation function is measured as the correlation between dengue fever data of lag suggested parameters ARIMA (2,1,2), and partial autocorrelation function is defined as the difference between the autocorrelation coefficient at a certain lag 20 with ARIMA (1,2,2). The best models are ARIMA (2,1,2) evaluated a great forecast dengue fever epidemic with a lower mean absolute percentage error (MAPE) of 1148.319, lower Bayesian information criterion (BIC) of 13679.5133 and Akaike information criterion (AIC) of 13710.0388. The results will benefit health professionals. Moreover, the model can be used for policymaking and planning of resource allocation for the people and continue to improve public health services. © 2019 ACM.",ARIMA; Dengue fever; Forecasting; Time Series,Forecasting Dengue Fever Epidemics using ARIMA Model,Dengue Fever,Supervised Learning,"ARIMA (2,1,2) and (1,2,2) time series forecasting, Gaussian Distribution model for comparison, Ljung-Box, Engle’s ARCH, Dickey-Fuller AR, GARCH","Chandrakasem Rajabhat University; Ministry of Higher Education, Science, Research and Innovation","The researcher would like to thank you. Qualified experts who scrutinize the research by emphasizing this research until receiving research funding from the Ministry of Higher Education, Science, Research and Innovation, and thanking the research institute Chandrakasem Rajabhat University for supporting the place for research. Besides, I would like to thank the Bureau of Communicable Diseases by insect Thailand for providing support information for research, and finally, the researcher would like to thank Prof. Dr. Thanaruk Theeramunkong for taking the time to advise until this research was completed.",Thailand,Northeast Thailand (20 provinces),Dengue Fever,Dengue Fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},None/Other
2019,diagnosis,"Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor DE, Shah Alam, Malaysia; Computational Intelligence Detection RIG, Pharmaceutical and Lifesciences Communities of Research, Universiti Teknologi MARA, Selangor DE, Shah Alam, Malaysia; Faculty of Electrical Engineering, Universiti Teknologi MARA, Cawangan Pulau Pinang, Permatang Pauh, Pulau Pinang, Malaysia","Of recent, there has been much interest in the application of Surface Enhance Raman Spectroscopy (SERS) analysis in the detection of diseases such as dengue. Early diagnosis of dengue affords early intervention, greater chance of cure and prevention of mild dengue progressing into life threatening stage. SERS produces, on the interaction of photons from laser beam with saliva samples, a spectral image of its composition here. In the case of dengue fever, Non-Structural Protein 1 (NS1), being its biomarker, is the biochemical fingerprint to be revealed by SERS. NS1 presents in body fluid such as blood and saliva of patients since day one of infection, that makes NS1 a favourite alternative to antibody types of biomarker. However, the concentration of NS1 in saliva is low, yielding a low intensity SERS spectrum. In addition, the spectrum is usually interfered with undesirable noisy features. Extreme Learning Machine (ELM) is a fast algorithm with its strength in data pattern generalization. It has been applied in pattern recognition and machine learning for classification and regression, with encouraging performance. Our work here intends to determine an optimal polynomial-ELM model in classifying SERS spectra of saliva samples adulterated with NS1, amongst the different models subject to three different termination criteria of Principal Component Analysis (PCA). Performance of '100%' is attained for accuracy, sensitivity, specificity and precision, while '1' for kappa, by combining the cumulative percent of total variance (CPV) termination criterion and polynomial-ELM model of power 2 and constant 0.5. © 2019 IOP Publishing Ltd. All rights reserved.",,PCA-Polynomial-ELM Model Optimal for Detection of NS1 Adulterated Salivary SERS Spectra,Dengue fever,Supervised Laerning,"Polynomial-ELM model (Extreme Learning Machine with polynomial kernel).
Principal Component Analysis (PCA) (For dimensionality reduction and noise reduction).","Erasmus Research Institute of Management, ERIM; Universiti Teknologi MARA, UiTM","The author would like to thank the Research Management Institute, for providing the research funding 600-IRMI/REI 5/3 (02 1/2018); Faculty of Electrical Engineering, Universiti Teknologi MARA, Selangor, Malaysia, for the support and assistance given to the authors in carrying out this research.",Malaysia,Malaysia,Dengue fever,Dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2018,outbreak prediction,"Institute for Marine Remote Sensing, University of South Florida, College of Marine Science, 140 7th Avenue South, Saint Petersburg, 33701, FL, United States; Centre for Water Systems, University of Exeter, Harrison Building, North Park Road, Exeter, EX4 4QF, United Kingdom; Environmental Health Department, Graduate School of Public Health, University of Puerto Rico, Medical Sciences Campus, P.O. Box 365067, San Juan, PR, 00936, United States; Centro de Investigaciones Regionales, Lab de Arbovirologia, Unidad Inalámbrica, Universidad Autonoma de Yucatan, Calle 43 No. 613 x Calle 90, Colonia Inalambrica, Yucatan, Merida, C.P. 97069, Mexico; Servicios de Salud de Yucatan, Hospital General Agustin O’Horan Unidad de Vigilancia Epidemiologica, Avenida Itzaes s/n Av. Jacinto Canek, Centro, Yucatan, Merida, C.P. 97000, Mexico","Modelling dengue fever in endemic areas is important to mitigate and improve vector-borne disease control to reduce outbreaks. This study applied artificial neural networks (ANNs) to predict dengue fever outbreak occurrences in San Juan, Puerto Rico (USA), and in several coastal municipalities of the state of Yucatan, Mexico, based on specific thresholds. The models were trained with 19 years of dengue fever data for Puerto Rico and six years for Mexico. Environmental and demographic data included in the predictive models were sea surface temperature (SST), precipitation, air temperature (i.e., minimum, maximum, and average), humidity, previous dengue cases, and population size. Two models were applied for each study area. One predicted dengue incidence rates based on population at risk (i.e., numbers of people younger than 24 years), and the other on the size of the vulnerable population (i.e., number of people younger than five years and older than 65 years). The predictive power was above 70% for all four model runs. The ANNs were able to successfully model dengue fever outbreak occurrences in both study areas. The variables with the most influence on predicting dengue fever outbreak occurrences for San Juan, Puerto Rico, included population size, previous dengue cases, maximum air temperature, and date. In Yucatan, Mexico, the most important variables were population size, previous dengue cases, minimum air temperature, and date. These models have predictive skills and should help dengue fever mitigation and management to aid specific population segments in the Caribbean region and around the Gulf of Mexico. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",Aedes aegypti; Aedes albopictus; Early warning systems; Nonlinear models; Remote sensing,"Application of Artificial Neural Networks for Dengue Fever Outbreak Predictions in the Northwest Coast of Yucatan, Mexico and San Juan, Puerto Rico",Dengue fever,supervised learning,Artificial Neural Networks (ANNs),"University of Puerto Rico-Medical Campus; USF College of Marine Science Linton Tibbetts Endowed; Universidad Autónoma de Yucatán, UADY; National Aeronautics and Space Administration, NASA, (NNX15AN60H); National Science Foundation, NSF, (1243510, 1444755)","Funding text 1: We would like to thank the teams from the University of Puerto Rico-Medical Campus, Universidad Autonoma of Yucatan, and Centre for Water Systems for their help and input during this work. We would also like to thank the IMaRS team for their input and help in manuscript revisions. This material is based upon work supported by the National Science Foundation Partnerships for International Research (PIRE) under Grant No. 1243510, by NASA Headquarters under the NASA Earth and Science Fellowship Program Grant No. NNX15AN60H, and the USF College of Marine Science Linton Tibbetts Endowed Fellowship.; Funding text 2: Acknowledgments: We would like to thank the teams from the University of Puerto Rico-Medical Campus, Universidad Autonoma of Yucatan, and Centre for Water Systems for their help and input during this work. We would also like to thank the IMaRS team for their input and help in manuscript revisions. This material is based upon work supported by the National Science Foundation Partnerships for International Research (PIRE) under Grant No. 1243510, by NASA Headquarters under the NASA Earth and Science Fellowship Program Grant No. NNX15AN60H, and the USF College of Marine Science Linton Tibbetts Endowed Fellowship.","United States, United Kingdom, Mexico","San Juan, Puerto Rico (USA), Yucatan(Mexico)",Dengue fever,Dengue fever,Dengue and chikungunya,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2018,surveillance,"Computer Science Engineering, PSG College of Technology, Coimbatore, India; Affiliations As Computer Applications, GSS Jain College, Chennai, India; Nursing Department, Technological Educational Institute of Central Greece, Lamia, 35100, Greece; Computer Engineering Department, Technological Educational Institute of Central Greece, Lamia, 35100, Greece","BACKGROUND: Dengue is one of the serious mosquito-borne diseases predominantly caused by the bites of infected Aedes mosquitoes. The global incidence of dengue has significantly increased in the last few years. According to the World Health Organization (WHO), there exist 390 million dengue fever cases worldwide. In India, the number of cases of dengue was doubled during 2014 and 2015. Different geographical regions possess different levels of dengue outbreak risk depending on the meteorological, socioeconomic and lifestyle parameters such as cleanliness around the house, water storage practice, use of mosquito repellent, family history etc. Hence, a geospatial categorization helps in exercising timely prevention mechanism by the public health service personnel before the real outbreak occurs. METHODS: The presented work attempts to classify the dengue outbreak risk of the given geographical region using Fuzzy Cognitive Map (FCM). In this research study, medical experts contributed to construct the FCM model for assessing dengue risk. This model was trained using data-driven nonlinear Hebbian learning (DD-NHL) algorithm for 71 data samples collected from suburban areas of Chennai city, one of the tropical regions of Southern India. The new contribution of this research work is the application of the FCM methodology with its Hebb-based learning capabilities in the specific application case study. The proposed FCM model classifies the dengue outbreak risk of the given region into three categories, namely high, moderate and low. RESULTS: A large number of experiments were conducted with diverse configurations and different learning parameters of Hebb-based learning algorithms, as well as with different architectures of artificial neural networks (mainly for comparison purposes). Through the comparative analysis, also the standard machine learning based classifiers such as Multilayer Perceptron, Support Vector Machine (SVM), Decision Tree, Naive Bayesian classifier, etc. were used. CONCLUSIONS: The accuracy of the proposed FCM-based classification approach is much better than the benchmark machine learning algorithms, which show deficiency working with small datasets and without be able to use experts' knowledge. Dengue is one of the serious mosquito-borne diseases predominantly caused by the bites of infected Aedes mosquitoes. It causes a wide spectrum of illness ranging from mild asymptomatic illness to severe fatal Dengue Hemorrhagic Fever/Dengue Shock Syndrome (DHF/DSS). The global incidence of dengue has significantly increased in the last few years. According to the World Health Organization (WHO), there exist 390 million dengue fever cases worldwide. In India, number of cases of dengue was doubled during 2014 and 2015. Different geographical regions possess different levels of dengue outbreak risk depending on the meteorological, social and lifestyle factors such as cleanliness around the house, water storage practice, use of mosquito repellent, family history etc. The presented work attempts to classify the dengue outbreak risk of the given geographical region. © 2018 - IOS Press and the authors. All rights reserved.",,Application of Fuzzy Cognitive Map for geospatial dengue outbreak risk prediction of tropical regions of Southern India,Dengue fever,unsupervised learning," Fuzzy Cognitive Map (FCM),  Multilayer Perceptron (ANN), Support Vector Machine (SVM), Decision Tree (J48), Naive Bayesian classifier, and Bayes Net classifiers",,,"India, Greece","Suburban areas of Chennai city, Southern India",Dengue fever,Dengue fever,Dengue and chikungunya,Unsupervised Learning,{'ml_category': 'Unsupervised'},Unsupervised
2018,diagnosis,"Department of Electronics and Electrical Communication Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; Department of Computer Science, University of Illinois at Springfield, Springfield, IL, United States","Hepatic schistosomiasis is a prolonged disease resulting mainly from the solvable egg antigen of schistosomiasis infection due to the host’s granulomatous cell-mediated immune. Irreversible fibrosis results from the progress of the schistosomal hepatopathy. Sensitive diagnosis of this disease is based on the investigation of the microscopy images, liver tissues, and egg identification. Early diagnosis of schistosomiasis at its initial infection stage is vital to avoid egg-induced irreparable pathological reactions. Typically, there are several classification approaches that can be used for liver fibrosis staging. However, it is unclear which approaches can achieve high accuracy for analyzing and intelligently classifying the liver microscopic images. Consequently, this work aims to study the performance of the different machine learning classifiers for accurate fibrosis level staging of granuloma, namely cellular, fibrocellular and fibrotic granulomas as well as the normal samples. The classifiers include a multi-layer perceptron neural network, a decision tree, discriminant analysis, support vector machine (SVM), nearest neighbor, and the ensemble of classifiers. The statistical features of the microscopic images are extracted from the different fibrosis levels of granuloma, namely cellular, fibrocellular and fibrotic granulomas as well as the normal samples. The results established that the maximum achieved classification accuracies of value 90% were achieved using the subspace discriminant ensemble, the quadratic SVM, the linear SVM, or the linear discriminant classifiers. However, the linear discriminant classifier can be considered the superior classifier as it realized the best area under the curve of value 0.96 during the classification of the cellular granuloma as well as the fibro-cellular granuloma fibrosis levels. © 2018, Springer Nature Switzerland AG.",Decision tree; Discriminant analysis; Ensemble classifier; Fibrosis; Hepatic schistosomiasis; Nearest neighbor; Statistical features; Support vector machine,Comparative study of multiclass classification methods on light microscopic images for hepatic schistosomiasis fibrosis diagnosis,Schistosomiasis,supervised learning,"Support Vector Machine (SVM) , Nearest Neighbor Classifiers (KNN), Decision Trees,Ensemble of classifiers (subspace with discriminant, bagged with trees, subspace with KNN, boosted with trees, RUS-Boosted with trees), Neural Network (Multi-layer perceptron neural network, MLP-NN)",,,"Egypt, USA","Tanta University, Egypt",Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2018,prognosis,"Department of Epidemiology and Health Statistics, School of Public Health, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China; Hubei Provincial Center for Disease Control and Prevention, Wuhan, Hubei, China; Department of Mathematics, Wuhan University, Wuhan, Hubei, China; Yichang Center for Disease Control and Prevention, Yichang, Hubei, China; Department of Epidemiology and Biostatistics, School of Public Health, Guangdong Pharmaceutical University, Guangzhou, China","Background: In order to better assist medical professionals, this study aimed to develop and compare the performance of three models—a multivariate logistic regression (LR) model, an artificial neural network (ANN) model, and a decision tree (DT) model—to predict the prognosis of patients with advanced schistosomiasis residing in the Hubei province. Methodology/Principal findings: Schistosomiasis surveillance data were collected from a previous study based on a Hubei population sample including 4136 advanced schistosomiasis cases. The predictive models use LR, ANN, and DT methods. From each of the three groups, 70% of the cases (2896 cases) were used as training data for the predictive models. The remaining 30% of the cases (1240 cases) were used as validation groups for performance comparisons between the three models. Prediction performance was evaluated using area under the receiver operating characteristic curve (AUC), sensitivity, specificity, and accuracy. Univariate analysis indicated that 16 risk factors were significantly associated with a patient’s outcome of prognosis. In the training group, the mean AUC was 0.8276 for LR, 0.9267 for ANN, and 0.8229 for DT. In the validation group, the mean AUC was 0.8349 for LR, 0.8318 for ANN, and 0.8148 for DT. The three models yielded similar results in terms of accuracy, sensitivity, and specificity. Conclusions/Significance: Predictive models for advanced schistosomiasis prognosis, respectively using LR, ANN and DT models were proved to be effective approaches based on our dataset. The ANN model outperformed the LR and DT models in terms of AUC. © 2018 Li et al.",,Comparison of three data mining models for prediction of advanced schistosomiasis prognosis in the Hubei province,Schistosomiasis,supervised learning,"Artificial Neural Network (ANN), Decision trees, Logistic regression","Hubei Provincial Population and Family Planning Commission, (WJ2017X011); Hubei Provincial Population and Family Planning Commission","This study was funded by Schistosomiasis Control and Prevention Special Fund of Hubei Provincial Health and Family planning Commission (No.WJ2017X011). URL: http://www.hbwsjs.gov.cn/detail/20161206144303627001.html The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. We would like to sincerely express our gratitude to the staff of the Hubei Institute of Schistosomiasis Diseases Prevention and Control (Zhou Xiaorong, Liu Jianbing, Chen Yanyan, and Yang Junjing), Wuhan University (Chen Yuanqi and Zhang Hengtao), the Yichang Center for Disease Control and Prevention (Liu Jianhua), and Guangdong Pharmaceutical University (Jiang Hongbo).",China,"Hubei Province, China",Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2018,diagnosis,"Department of Electronics and Electrical Communication Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; Department of Computer Science, University of Illinois at Springfield, Springfield, IL, United States; Department of Radiology, University of Michigan Medical School, Ann Arbor, United States","Schistosomiasis is one of the dangerous parasitic diseases that affect the liver tissues leading to liver fibrosis. Such disease has several levels, which indicate the degree of fibrosis severity. To assess the fibrosis level for diagnosis and treatment, the microscopic images of the liver tissues were examined at their different stages. In the present work, an automated staging method is proposed to classify the statistical extracted features from each fibrosis stage using an ensemble classifier, namely the subspace ensemble using linear discriminant learning scheme. The performance of the subspace/discriminant ensemble classifier was compared to other ensemble combinations, namely the boosted/trees ensemble, bagged/trees ensemble, subspace/KNN ensemble, and the RUSBoosted/trees ensemble. The simulation results established the superiority of the proposed subspace/discriminant ensemble with 90% accuracy compared to the other ensemble classifiers. © 2018, Springer Nature Switzerland AG.",Ensemble classifier; Liver fibrosis; Schistosomiasis; Statistical features,Ensemble of subspace discriminant classifiers for schistosomal liver fibrosis staging in mice microscopic images,Schistosomiasis,supervised learning,"ensemble of subspace and discriminant classifiers (Subspace Discriminant Ensemble), bagged tree ensemble, Subspace KNN ensemble, boosted tree ensemble, RUSBoosted trees ensemble, Multi-layer perceptron neural network (MLP-NN)",,,"Egypt, USA","Tanta University, Egypt",Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
2018,diagnosis,"Department of Medical Parasitology, Faculty of Medicine, Tanta University, Egypt; Department of Electronics and Electrical Communication Engineering, Faculty of Engineering, Tanta University, Egypt","Chronic liver diseases' hallmark is the fibrosis that results in liver function failure in advanced stages. One of the serious parasitic diseases affecting the liver tissues is schistosomiasis. Immunologic reactions to Schistosoma eggs leads to accumulation of collagen in the hepatic parenchyma causing fibrosis. Thus, monitoring and reporting the staging of the histopathological information related to liver fibrosis are essential for accurate diagnosis and therapy of the chronic liver diseases. Automated assessment of the microscopic liver tissue images is an essential process. For accurate and timeless assessment, an automated image analysis and classification of different stages of fibrosis can be employed as an efficient procedure. In this work, granuloma stages, namely cellular, fibrocellular, and fibrotic granulomas along with normal liver samples were classified after features extraction. In this work, a new hybrid combination of statistical features with empirical mode decomposition (EMD) is proposed. These combined features are further classified using the back-propagation neural network (BPNN). A comparative study of the used classifier with the support vector machine is also conducted. The comparative results established that the BPNN achieved superior accuracy of 98.3% compared to the linear SVM, quadratic SVM, and cubic SVM that provided 85%, 84%, and 80%; respectively. In conclusion, this work is of special value that provides promising results for early prediction of the liver fibrosis in schistosomiais and other fibrotic liver diseases in no time with expected better prognosis after treatment. © 2018 Wiley Periodicals, Inc.",empirical mode decomposition (EMD); microscopic image analysis; schistosomiasis; statistical features extraction; texture analysis,Hybrid feature extraction techniques for microscopic hepatic fibrosis classification,Schistosomiasis,supervised learning,"Back-Propagation Neural Network (BPNN),Linear SVM, Quadratic SVM, and Cubic SVM",,,Egypt,"Tanta University, Egypt",Schistosomiasis,Schistosomiasis,Schistosomiasis,Supervised Learning,{'ml_category': 'Supervised'},Supervised
